id,Rank,Country,Score,Electoral process and pluralism,Functio­ning of govern­ment,Political partici­pation,Political culture,Civil liberties,Regime type,Region
1,1.0,Norway,9.87,10.0,9.64,10.0,10.0,9.71,Full democracy,Western Europe
2,2.0,Iceland,9.58,10.0,9.29,8.89,10.0,9.71,Full democracy,Western Europe
3,3.0,Sweden,9.39,9.58,9.64,8.33,10.0,9.41,Full democracy,Western Europe
4,4.0,New Zealand,9.26,10.0,9.29,8.89,8.13,10.0,Full democracy,Asia & Australasia
5,5.0,Finland,9.25,10.0,8.93,8.89,8.75,9.71,Full democracy,Western Europe
6,6.0,Ireland,9.24,10.0,7.86,8.33,10.0,10.0,Full democracy,Western Europe
7,7.0,Denmark,9.22,10.0,9.29,8.33,9.38,9.12,Full democracy,Western Europe
8,7.0,Canada,9.22,9.58,9.64,7.78,9.38,9.71,Full democracy,North America
9,9.0,Australia,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
10,10.0,Switzerland,9.03,9.58,9.29,7.78,9.38,9.12,Full democracy,Western Europe
11,11.0,Netherlands,9.01,9.58,9.29,8.33,8.75,9.12,Full democracy,Western Europe
12,12.0,Luxembourg,8.81,10.0,8.93,6.67,8.75,9.71,Full democracy,Western Europe
13,13.0,Germany,8.68,9.58,8.57,8.33,7.5,9.41,Full democracy,Western Europe
14,14.0,United Kingdom,8.52,9.58,7.5,8.89,7.5,9.12,Full democracy,Western Europe
15,15.0,Uruguay,8.38,10.0,8.57,6.11,7.5,9.71,Full democracy,Latin America
16,16.0,Austria,8.29,9.58,7.86,8.33,6.88,8.82,Full democracy,Western Europe
17,16.0,Spain,8.29,9.58,7.14,7.78,8.13,8.82,Full democracy,Western Europe
18,18.0,Mauritius,8.22,9.17,8.21,5.56,8.75,9.41,Full democracy,Sub-Saharan Africa
19,19.0,Costa Rica,8.13,9.58,7.5,6.67,7.5,9.41,Full democracy,Latin America
20,20.0,France,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
21,21.0,Chile,8.08,9.58,8.57,5.0,8.13,9.12,Full democracy,Latin America
22,22.0,Portugal,8.03,9.58,7.86,6.11,7.5,9.12,Full democracy,Western Europe
23,23.0,South Korea[n 2],8.0,9.17,7.86,7.22,7.5,8.24,Flawed democracy,Asia & Australasia
24,24.0,Japan,7.99,8.75,8.21,6.67,7.5,8.82,Flawed democracy,Asia & Australasia
25,25.0,United States,7.96,9.17,7.14,7.78,7.5,8.24,Flawed democracy,North America
26,26.0,Malta,7.95,9.17,7.5,6.11,8.13,8.82,Flawed democracy,Western Europe
27,27.0,Estonia,7.9,9.58,7.86,6.67,6.88,8.53,Flawed democracy,Eastern Europe
28,28.0,Israel,7.86,9.17,7.86,8.89,7.5,5.88,Flawed democracy,Middle East & North Africa
29,29.0,Botswana,7.81,9.17,7.14,6.11,7.5,9.12,Flawed democracy,Sub-Saharan Africa
30,30.0,Cape Verde,7.78,9.17,7.36,6.67,6.88,8.82,Flawed democracy,Sub-Saharan Africa
31,31.0,Taiwan,7.73,9.58,8.21,6.11,5.63,9.12,Flawed democracy,Asia & Australasia
32,32.0,Czech Republic,7.69,9.58,6.79,6.67,6.88,8.53,Flawed democracy,Eastern Europe
33,33.0,Belgium,7.64,9.58,8.21,5.0,6.88,8.53,Flawed democracy,Western Europe
34,34.0,Cyprus,7.59,9.17,6.43,6.67,6.88,8.82,Flawed democracy,Western Europe
35,35.0,Italy,7.52,9.58,6.07,7.78,6.25,7.94,Flawed democracy,Western Europe
36,36.0,Slovenia,7.5,9.58,6.79,6.67,6.25,8.24,Flawed democracy,Eastern Europe
37,36.0,Lithuania,7.5,9.58,6.43,6.11,6.25,9.12,Flawed democracy,Eastern Europe
38,38.0,Latvia,7.49,9.58,6.07,6.11,6.88,8.82,Flawed democracy,Eastern Europe
39,39.0,Greece,7.43,9.58,4.86,6.67,7.5,8.53,Flawed democracy,Western Europe
40,40.0,South Africa,7.24,7.42,7.5,8.33,5.0,7.94,Flawed democracy,Sub-Saharan Africa
41,41.0,Timor-Leste,7.19,9.58,6.29,5.56,6.88,7.65,Flawed democracy,Asia & Australasia
42,42.0,Slovakia,7.17,9.58,7.14,5.56,5.63,7.94,Flawed democracy,Eastern Europe
43,43.0,Malaysia,7.16,9.17,7.86,6.67,6.25,5.88,Flawed democracy,Asia & Australasia
44,43.0,Trinidad and Tobago,7.16,9.58,7.14,6.11,5.63,7.35,Flawed democracy,Latin America
45,45.0,Colombia,7.13,9.17,6.79,5.56,5.63,8.53,Flawed democracy,Latin America
46,46.0,Panama,7.05,9.58,6.07,6.67,5.0,7.94,Flawed democracy,Latin America
47,47.0,Bulgaria,7.03,9.17,6.43,7.22,4.38,7.94,Flawed democracy,Eastern Europe
48,48.0,Argentina,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
49,49.0,Suriname,6.98,9.17,6.43,6.67,5.0,7.65,Flawed democracy,Latin America
50,50.0,Jamaica,6.96,8.75,7.14,4.44,6.25,8.24,Flawed democracy,Latin America
51,51.0,India,6.9,8.67,6.79,6.67,5.63,6.76,Flawed democracy,Asia & Australasia
52,52.0,Brazil,6.86,9.58,5.36,6.11,5.0,8.24,Flawed democracy,Latin America
53,53.0,Tunisia,6.72,9.17,5.71,7.22,5.63,5.88,Flawed democracy,Middle East & North Africa
54,54.0,Philippines,6.64,9.17,5.36,7.22,4.38,7.06,Flawed democracy,Asia & Australasia
55,55.0,Ghana,6.63,8.33,5.71,6.67,6.25,6.18,Flawed democracy,Sub-Saharan Africa
56,55.0,Hungary,6.63,8.75,6.07,5.0,6.25,7.06,Flawed democracy,Eastern Europe
57,57.0,Poland,6.62,9.17,6.07,6.11,4.38,7.35,Flawed democracy,Eastern Europe
58,58.0,Peru,6.6,9.17,5.0,5.56,5.63,7.65,Flawed democracy,Latin America
59,59.0,Croatia,6.57,9.17,6.07,5.56,5.0,7.06,Flawed democracy,Eastern Europe
60,60.0,Dominican Republic,6.54,9.17,5.36,6.11,5.0,7.06,Flawed democracy,Latin America
61,60.0,Lesotho,6.54,9.17,4.5,6.67,5.63,6.76,Flawed democracy,Sub-Saharan Africa
62,62.0,Mongolia,6.5,9.17,5.71,5.56,5.0,7.06,Flawed democracy,Asia & Australasia
63,63.0,Romania,6.49,9.17,5.71,5.56,4.38,7.65,Flawed democracy,Eastern Europe
64,64.0,Indonesia,6.48,7.92,7.14,6.11,5.63,5.59,Flawed democracy,Asia & Australasia
65,65.0,Namibia,6.43,6.58,5.36,6.67,5.63,7.94,Flawed democracy,Sub-Saharan Africa
66,66.0,Serbia,6.41,8.25,5.36,6.11,5.0,7.35,Flawed democracy,Eastern Europe
67,67.0,Ecuador,6.33,8.75,5.36,6.11,4.38,7.06,Flawed democracy,Latin America
68,68.0,Thailand,6.32,7.42,5.36,6.11,6.25,6.47,Flawed democracy,Asia & Australasia
69,69.0,Sri Lanka,6.27,7.0,6.07,5.56,6.25,6.47,Flawed democracy,Asia & Australasia
70,70.0,Paraguay,6.24,8.75,5.71,5.0,4.38,7.35,Flawed democracy,Latin America
71,71.0,El Salvador,6.15,9.17,4.64,6.11,3.75,7.06,Flawed democracy,Latin America
72,71.0,Guyana,6.15,6.92,5.36,6.11,5.0,7.35,Flawed democracy,Latin America
73,73.0,Mexico,6.09,7.83,6.07,7.22,3.13,6.18,Flawed democracy,Latin America
74,74.0,Papua New Guinea,6.03,6.92,6.07,3.89,5.63,7.65,Flawed democracy,Asia & Australasia
75,75.0,Hong Kong,6.02,3.58,4.36,6.11,7.5,8.53,Flawed democracy,Asia & Australasia
76,75.0,Singapore,6.02,3.92,7.86,5.0,6.25,7.06,Flawed democracy,Asia & Australasia
77,77.0,North Macedonia,5.97,7.0,5.36,6.67,3.75,7.06,Hybrid regime,Eastern Europe
78,78.0,Ukraine,5.9,7.42,2.71,6.67,6.25,6.47,Hybrid regime,Eastern Europe
79,79.0,Albania,5.89,7.0,5.36,4.44,5.0,7.65,Hybrid regime,Eastern Europe
80,80.0,Bangladesh,5.88,7.83,6.07,6.11,4.38,5.0,Hybrid regime,Asia & Australasia
81,81.0,Fiji,5.85,6.58,5.36,6.11,5.63,5.59,Hybrid regime,Asia & Australasia
82,82.0,Senegal,5.81,6.08,6.07,4.44,6.25,6.18,Hybrid regime,Sub-Saharan Africa
83,83.0,Moldova,5.75,6.58,4.64,6.11,4.38,7.06,Hybrid regime,Eastern Europe
84,84.0,Montenegro,5.65,5.67,5.36,6.11,4.38,6.76,Hybrid regime,Eastern Europe
85,85.0,Madagascar,5.64,7.92,3.57,6.11,5.63,5.0,Hybrid regime,Sub-Saharan Africa
86,86.0,Armenia,5.54,7.5,5.36,6.11,3.13,5.59,Hybrid regime,Eastern Europe
87,87.0,Malawi,5.5,6.08,4.29,5.0,6.25,5.88,Hybrid regime,Sub-Saharan Africa
88,88.0,Liberia,5.45,7.42,3.07,5.56,5.63,5.59,Hybrid regime,Sub-Saharan Africa
89,89.0,Georgia,5.42,7.83,3.21,6.11,4.38,5.59,Hybrid regime,Eastern Europe
90,89.0,Honduras,5.42,7.83,4.29,4.44,4.38,6.18,Hybrid regime,Latin America
91,91.0,Bhutan,5.3,8.75,6.79,2.78,4.38,3.82,Hybrid regime,Asia & Australasia
92,92.0,Nepal,5.28,4.83,5.36,5.0,5.63,5.59,Hybrid regime,Asia & Australasia
93,93.0,Guatemala,5.26,6.92,4.64,3.89,4.38,6.47,Hybrid regime,Latin America
94,94.0,Kenya,5.18,3.5,5.71,6.67,5.63,4.41,Hybrid regime,Sub-Saharan Africa
95,95.0,Tanzania,5.16,5.75,5.0,5.0,5.63,4.41,Hybrid regime,Sub-Saharan Africa
96,96.0,Morocco,5.1,5.25,4.64,5.56,5.63,4.41,Hybrid regime,Middle East & North Africa
97,97.0,Benin,5.09,4.67,5.71,4.44,5.63,5.0,Hybrid regime,Sub-Saharan Africa
98,97.0,Zambia,5.09,4.75,2.93,4.44,6.88,6.47,Hybrid regime,Sub-Saharan Africa
99,99.0,Uganda,5.02,4.33,3.57,4.44,6.88,5.88,Hybrid regime,Sub-Saharan Africa
100,100.0,Mali,4.92,6.42,3.07,3.89,5.63,5.59,Hybrid regime,Sub-Saharan Africa
101,101.0,Kyrgyzstan,4.89,6.08,2.93,6.67,3.75,5.0,Hybrid regime,Eastern Europe
102,102.0,Bosnia and Herzegovina,4.86,6.17,2.93,5.56,3.75,5.88,Hybrid regime,Eastern Europe
103,102.0,Sierra Leone,4.86,6.58,2.86,3.33,6.25,5.29,Hybrid regime,Sub-Saharan Africa
104,104.0,Bolivia,4.84,4.75,3.93,5.0,3.75,6.76,Hybrid regime,Latin America
105,105.0,Haiti,4.57,4.75,2.07,3.89,6.25,5.88,Hybrid regime,Latin America
106,106.0,Lebanon,4.36,3.92,1.5,6.67,5.0,4.71,Hybrid regime,Middle East & North Africa
107,107.0,Gambia,4.33,4.0,4.29,3.33,5.63,4.41,Hybrid regime,Sub-Saharan Africa
108,108.0,Pakistan,4.25,6.08,5.71,2.22,2.5,4.71,Hybrid regime,Asia & Australasia
109,109.0,Nigeria,4.12,5.17,3.93,3.33,3.75,4.41,Hybrid regime,Sub-Saharan Africa
110,110.0,Turkey,4.09,3.08,5.0,5.0,5.0,2.35,Hybrid regime,Western Europe
111,111.0,Ivory Coast,4.05,4.33,2.86,3.33,5.63,4.12,Hybrid regime,Sub-Saharan Africa
112,112.0,Burkina Faso,4.04,3.92,2.71,4.44,5.0,4.12,Hybrid regime,Sub-Saharan Africa
113,113.0,Algeria,4.01,3.08,2.86,5.0,5.0,4.12,Hybrid regime,Middle East & North Africa
114,114.0,Jordan,3.93,3.58,4.29,3.89,4.38,3.53,Authoritarian,Middle East & North Africa
115,114.0,Kuwait,3.93,3.58,4.29,3.89,4.38,3.53,Authoritarian,Middle East & North Africa
116,116.0,Mauritania,3.92,3.5,3.57,5.0,3.13,4.41,Authoritarian,Sub-Saharan Africa
117,117.0,Palestine,3.89,3.33,0.14,7.78,4.38,3.82,Authoritarian,Middle East & North Africa
118,118.0,Iraq,3.74,5.25,0.0,6.67,5.0,1.76,Authoritarian,Middle East & North Africa
119,119.0,Angola,3.72,2.25,2.86,5.56,5.0,2.94,Authoritarian,Sub-Saharan Africa
120,120.0,Mozambique,3.65,2.58,2.14,5.0,5.0,3.53,Authoritarian,Sub-Saharan Africa
121,121.0,Gabon,3.61,2.58,2.21,4.44,5.0,3.82,Authoritarian,Sub-Saharan Africa
122,122.0,Myanmar,3.55,3.08,3.93,2.78,5.63,2.35,Authoritarian,Asia & Australasia
123,122.0,Nicaragua,3.55,1.25,2.86,3.89,5.63,4.12,Authoritarian,Latin America
124,124.0,Cambodia,3.53,0.83,4.64,3.33,5.63,3.24,Authoritarian,Asia & Australasia
125,125.0,Ethiopia,3.44,0.42,3.57,5.56,5.0,2.65,Authoritarian,Sub-Saharan Africa
126,126.0,Togo,3.3,3.17,1.79,3.33,5.0,3.24,Authoritarian,Sub-Saharan Africa
127,127.0,Niger,3.29,2.92,1.14,3.33,4.38,4.71,Authoritarian,Sub-Saharan Africa
128,128.0,Qatar,3.19,0.0,4.29,2.22,5.63,3.82,Authoritarian,Middle East & North Africa
129,129.0,Rwanda,3.16,1.42,4.29,2.78,4.38,2.94,Authoritarian,Sub-Saharan Africa
130,129.0,Zimbabwe,3.16,0.0,2.5,4.44,5.63,3.24,Authoritarian,Sub-Saharan Africa
131,131.0,Comoros,3.15,2.08,2.21,3.89,3.75,3.82,Authoritarian,Sub-Saharan Africa
132,132.0,Eswatini,3.14,0.92,2.86,2.78,5.63,3.53,Authoritarian,Sub-Saharan Africa
133,132.0,Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian,Sub-Saharan Africa
134,134.0,Republic of the Congo,3.11,2.17,2.5,3.89,3.75,3.24,Authoritarian,Sub-Saharan Africa
135,134.0,Russia,3.11,2.17,1.79,5.0,2.5,4.12,Authoritarian,Eastern Europe
136,136.0,Vietnam,3.08,0.0,3.21,3.89,5.63,2.65,Authoritarian,Asia & Australasia
137,137.0,Egypt,3.06,2.67,3.21,3.33,3.75,2.35,Authoritarian,Middle East & North Africa
138,137.0,Oman,3.06,0.08,3.93,2.78,4.38,4.12,Authoritarian,Middle East & North Africa
139,139.0,Kazakhstan,2.94,0.5,2.14,4.44,4.38,3.24,Authoritarian,Eastern Europe
140,140.0,Venezuela,2.88,0.0,1.79,5.0,4.38,3.24,Authoritarian,Latin America
141,141.0,Afghanistan,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
142,141.0,Cameroon,2.85,1.67,2.5,3.33,4.38,2.35,Authoritarian,Sub-Saharan Africa
143,143.0,Cuba,2.84,0.0,3.57,3.33,4.38,2.94,Authoritarian,Latin America
144,144.0,Djibouti,2.77,0.42,1.29,3.89,5.63,2.65,Authoritarian,Sub-Saharan Africa
145,145.0,United Arab Emirates,2.76,0.0,3.93,2.22,5.0,2.65,Authoritarian,Middle East & North Africa
146,146.0,Azerbaijan,2.75,0.5,3.21,2.78,3.75,3.53,Authoritarian,Eastern Europe
147,147.0,Sudan,2.7,0.0,1.79,5.56,5.0,1.18,Authoritarian,Middle East & North Africa
148,148.0,Guinea-Bissau,2.63,4.92,0.0,2.78,3.13,2.35,Authoritarian,Sub-Saharan Africa
149,149.0,Bahrain,2.55,0.83,2.71,2.78,4.38,2.06,Authoritarian,Middle East & North Africa
150,150.0,Belarus,2.48,0.92,2.0,2.78,4.38,2.35,Authoritarian,Eastern Europe
151,151.0,Iran,2.38,0.0,2.86,4.44,3.13,1.47,Authoritarian,Middle East & North Africa
152,152.0,Eritrea,2.37,0.0,2.14,1.67,6.88,1.18,Authoritarian,Sub-Saharan Africa
153,153.0,China,2.26,0.0,4.29,3.33,2.5,1.18,Authoritarian,Asia & Australasia
154,154.0,Burundi,2.15,0.0,0.07,3.33,5.0,2.35,Authoritarian,Sub-Saharan Africa
155,155.0,Laos,2.14,0.0,2.86,1.67,5.0,1.18,Authoritarian,Asia & Australasia
156,156.0,Libya,2.02,0.0,0.0,2.78,4.38,2.94,Authoritarian,Middle East & North Africa
157,157.0,Uzbekistan,2.01,0.08,1.86,2.22,5.0,0.88,Authoritarian,Eastern Europe
158,158.0,Yemen,1.95,0.0,0.0,3.89,5.0,0.88,Authoritarian,Middle East & North Africa
159,159.0,Saudi Arabia,1.93,0.0,2.86,2.22,3.13,1.47,Authoritarian,Middle East & North Africa
160,159.0,Tajikistan,1.93,0.08,0.79,1.67,6.25,0.88,Authoritarian,Eastern Europe
161,161.0,Equatorial Guinea,1.92,0.0,0.43,3.33,4.38,1.47,Authoritarian,Sub-Saharan Africa
162,162.0,Turkmenistan,1.72,0.0,0.79,2.22,5.0,0.59,Authoritarian,Eastern Europe
163,163.0,Chad,1.61,0.0,0.0,1.67,3.75,2.65,Authoritarian,Sub-Saharan Africa
164,164.0,Syria,1.43,0.0,0.0,2.78,4.38,0.0,Authoritarian,Middle East & North Africa
165,165.0,Central African Republic,1.32,1.25,0.0,1.11,1.88,2.35,Authoritarian,Sub-Saharan Africa
166,166.0,Democratic Republic of the Congo,1.13,0.0,0.0,1.67,3.13,0.88,Authoritarian,Sub-Saharan Africa
167,167.0,North Korea,1.08,0.0,2.5,1.67,1.25,0.0,Authoritarian,Asia & Australasia
